gene,drought_3_cnt
A2J10_02T0057100.1,107
A2J10_02T0057100.2,88
A2J10_03T0201600.1,5
A2J10_03T0329000.1,209
A2J10_07T0024300.1,912
A2J10_02T0038900.1,201
A2J10_08T0032900.1,117
A2J10_04T0201600.1,80
A2J10_06T0191500.1,370
A2J10_10T0096400.1,36
A2J10_07T0173700.1,614
A2J10_07T0146100.1,22
A2J10_06T0241100.2,664
A2J10_06T0241100.3,736
A2J10_06T0241100.1,738
A2J10_06T0191000.1,238
A2J10_06T0191000.2,161
A2J10_06T0191000.3,51
A2J10_02T0019600.1,235
A2J10_01T0227000.1,2036
A2J10_11T0018100.2,154
A2J10_11T0018100.1,224
A2J10_08T0004200.4,56
A2J10_08T0004200.5,248
A2J10_08T0004200.2,399
A2J10_08T0004200.3,318
A2J10_08T0004200.1,355
A2J10_11T0000100.3,6
A2J10_11T0000100.2,2
A2J10_11T0000100.5,3
A2J10_11T0000100.4,4
A2J10_11T0000100.1,5
A2J10_05T0239300.1,1
A2J10_12T0179000.1,26
A2J10_12T0179000.2,26
A2J10_08T0035400.1,240
A2J10_08T0157400.1,132
A2J10_03T0387200.1,56
A2J10_03T0387200.3,53
A2J10_03T0387200.2,71
A2J10_02T0367100.1,456
A2J10_01T0499700.1,130
A2J10_09T0040700.1,1556
A2J10_01T0036100.1,6
A2J10_01T0463500.1,7
A2J10_01T0017100.1,1686
A2J10_03T0085600.1,31
A2J10_07T0150700.1,1631
A2J10_07T0150700.2,1933
A2J10_02T0313500.1,280
A2J10_08T0234000.2,35
A2J10_08T0234000.1,25
A2J10_04T0092900.2,952
A2J10_04T0092900.1,1032
A2J10_01T0003600.1,1
A2J10_09T0136900.1,159
A2J10_01T0237900.1,183
A2J10_07T0180900.1,175
A2J10_05T0027800.1,253
A2J10_03T0277500.1,52
A2J10_06T0279900.1,32
A2J10_06T0218000.1,343
A2J10_06T0218000.5,510
A2J10_06T0218000.3,525
A2J10_06T0218000.6,183
A2J10_06T0218000.2,390
A2J10_06T0218000.4,521
A2J10_01T0508800.1,112
A2J10_02T0083300.2,702
A2J10_02T0083300.1,754
A2J10_02T0083300.4,869
A2J10_02T0083300.3,584
A2J10_11T0039700.1,2
A2J10_06T0290200.1,157
A2J10_06T0290200.2,362
A2J10_03T0304500.1,342
A2J10_09T0151200.1,64
A2J10_04T0227700.4,10
A2J10_04T0227700.6,11
A2J10_04T0227700.1,1
A2J10_04T0227700.5,10
A2J10_04T0227700.3,1
A2J10_04T0227700.2,10
A2J10_06T0249400.1,105
A2J10_09T0017100.1,16
A2J10_04T0292800.1,110
A2J10_11T0094700.1,55
A2J10_03T0375800.1,326
A2J10_08T0195100.1,8
A2J10_11T0150700.3,1
A2J10_11T0150700.2,1
A2J10_11T0150700.1,1
A2J10_05T0252900.1,40
A2J10_02T0254300.1,397
A2J10_02T0254300.2,424
A2J10_04T0312900.1,137
A2J10_11T0093300.1,444
A2J10_11T0223800.1,69
A2J10_01T0103800.1,56
