gene,control_1_cnt
A2J10_03T0297800.2,1581
A2J10_02T0287400.2,230
A2J10_02T0287400.4,216
A2J10_02T0287400.5,219
A2J10_02T0287400.3,219
A2J10_02T0287400.1,241
A2J10_03T0317400.1,2267
A2J10_09T0016800.1,30
A2J10_01T0211000.1,26
A2J10_05T0012900.1,301
A2J10_10T0188800.1,28
A2J10_07T0221600.3,254
A2J10_07T0221600.4,169
A2J10_07T0221600.2,244
A2J10_07T0221600.1,181
A2J10_07T0177800.1,7
A2J10_10T0084600.1,1
A2J10_07T0013600.1,83
A2J10_10T0021400.2,337
A2J10_10T0021400.1,459
A2J10_03T0296900.1,3497
A2J10_01T0032900.1,323
A2J10_06T0243800.1,281
A2J10_04T0313100.1,4
A2J10_08T0222300.1,108
A2J10_05T0134700.1,2
A2J10_01T0500300.1,29
A2J10_02T0057100.1,153
A2J10_02T0057100.2,135
A2J10_03T0201600.1,2
A2J10_03T0329000.1,382
A2J10_07T0024300.1,923
A2J10_02T0038900.1,241
A2J10_05T0209200.1,11
A2J10_05T0209200.3,4
A2J10_05T0209200.2,11
A2J10_08T0032900.1,193
A2J10_04T0201600.1,191
A2J10_06T0191500.1,1440
A2J10_10T0096400.1,149
A2J10_07T0173700.1,1153
A2J10_07T0146100.1,85
A2J10_06T0241100.2,701
A2J10_06T0241100.3,789
A2J10_06T0241100.1,798
A2J10_06T0191000.1,293
A2J10_06T0191000.2,169
A2J10_06T0191000.3,98
A2J10_02T0019600.1,374
A2J10_01T0227000.1,2628
A2J10_11T0018100.2,239
A2J10_11T0018100.1,317
A2J10_08T0004200.4,100
A2J10_08T0004200.5,396
A2J10_08T0004200.2,584
A2J10_08T0004200.3,520
A2J10_08T0004200.1,548
A2J10_11T0000100.6,17
A2J10_11T0000100.3,18
A2J10_11T0000100.2,18
A2J10_11T0000100.5,1
A2J10_11T0000100.4,18
A2J10_11T0000100.1,18
A2J10_12T0179000.1,54
A2J10_12T0179000.2,59
A2J10_08T0035400.1,699
A2J10_08T0157400.1,165
A2J10_03T0387200.1,117
A2J10_03T0387200.3,117
A2J10_03T0387200.2,195
A2J10_02T0367100.1,989
A2J10_01T0499700.1,231
A2J10_09T0040700.1,2045
A2J10_01T0036100.1,27
A2J10_01T0463500.1,62
A2J10_01T0017100.1,2188
A2J10_03T0085600.1,71
A2J10_07T0150700.1,1878
A2J10_07T0150700.2,2208
A2J10_02T0313500.1,285
A2J10_08T0234000.2,100
A2J10_08T0234000.1,79
A2J10_04T0092900.2,1356
A2J10_04T0092900.1,1511
A2J10_01T0003600.1,4
A2J10_03T0394000.1,3
A2J10_09T0136900.1,241
A2J10_01T0237900.1,232
A2J10_07T0180900.1,245
A2J10_05T0027800.1,305
A2J10_03T0277500.1,48
A2J10_06T0279900.1,43
A2J10_06T0218000.1,473
A2J10_06T0218000.5,521
A2J10_06T0218000.3,549
A2J10_06T0218000.6,211
A2J10_06T0218000.2,562
A2J10_06T0218000.4,547
A2J10_01T0508800.1,213
A2J10_02T0083300.2,859
A2J10_02T0083300.1,910
A2J10_02T0083300.4,1050
A2J10_02T0083300.3,640
A2J10_11T0039700.1,15
A2J10_06T0290200.1,250
A2J10_06T0290200.2,588
A2J10_03T0304500.1,195
A2J10_09T0151200.1,185
A2J10_05T0115100.1,1
A2J10_04T0227700.4,12
A2J10_04T0227700.6,15
A2J10_04T0227700.1,5
A2J10_04T0227700.5,7
A2J10_04T0227700.3,5
A2J10_04T0227700.2,7
A2J10_06T0249400.1,175
A2J10_09T0017100.1,26
A2J10_04T0292800.1,172
A2J10_11T0094700.1,198
A2J10_03T0375800.1,484
A2J10_08T0195100.1,8
A2J10_05T0252900.1,89
A2J10_02T0254300.1,445
A2J10_02T0254300.2,500
A2J10_04T0312900.1,125
A2J10_11T0093300.1,289
A2J10_08T0013700.1,3
A2J10_11T0223800.1,107
A2J10_01T0103800.1,58
A2J10_07T0241500.1,450
A2J10_01T0374500.2,1162
A2J10_01T0374500.1,1248
A2J10_06T0301500.1,739
A2J10_03T0214200.2,73
A2J10_03T0214200.1,49
A2J10_02T0245300.1,72
A2J10_05T0027500.3,355
A2J10_05T0027500.1,197
A2J10_05T0027500.2,246
A2J10_12T0183400.1,6
A2J10_03T0027600.1,723
A2J10_03T0027600.2,854
A2J10_02T0261300.1,9
A2J10_11T0189500.3,1684
A2J10_11T0189500.2,1397
A2J10_11T0189500.1,1575
A2J10_03T0106000.1,401
A2J10_12T0175700.3,676
A2J10_12T0175700.2,863
A2J10_12T0175700.1,681
A2J10_01T0184200.1,8
A2J10_05T0181900.1,120
A2J10_09T0155500.2,2
A2J10_09T0155500.3,1
A2J10_09T0155500.1,1
A2J10_11T0005300.1,56
A2J10_04T0032800.1,1502
A2J10_08T0120000.1,793
A2J10_07T0232500.5,3
A2J10_07T0232500.1,136
A2J10_07T0232500.2,126
A2J10_07T0232500.6,12
A2J10_07T0232500.7,9
A2J10_07T0232500.4,3
A2J10_07T0232500.3,136
A2J10_07T0200100.1,1408
A2J10_08T0195700.1,91
A2J10_10T0058900.1,18
A2J10_01T0294800.1,237
A2J10_10T0030800.2,139
A2J10_10T0030800.1,121
A2J10_09T0184400.1,77
A2J10_03T0050100.2,556
A2J10_03T0050100.3,573
A2J10_03T0050100.5,426
A2J10_03T0050100.6,236
A2J10_03T0050100.1,561
A2J10_03T0050100.4,580
A2J10_06T0072600.1,216
A2J10_03T0266900.1,19
A2J10_10T0169300.1,3
A2J10_02T0069800.1,185
A2J10_02T0069800.2,161
A2J10_02T0069800.3,164
A2J10_01T0379300.2,243
A2J10_01T0379300.1,17
A2J10_08T0155100.1,119
A2J10_08T0155100.2,236
A2J10_06T0172600.1,122
A2J10_06T0172600.2,119
A2J10_07T0193200.1,55
A2J10_07T0267300.2,1596
A2J10_07T0267300.1,2106
A2J10_05T0175000.3,829
A2J10_05T0175000.4,849
A2J10_05T0175000.2,848
A2J10_05T0175000.1,868
A2J10_02T0188600.1,1388
A2J10_10T0011000.1,87
A2J10_02T0387200.1,13
A2J10_11T0169600.1,1234
A2J10_08T0137400.1,1169
A2J10_12T0172700.1,69
A2J10_09T0181200.1,7
A2J10_09T0181200.2,5
A2J10_01T0474100.1,1
A2J10_08T0106800.1,253
A2J10_01T0429700.1,2
A2J10_06T0085200.1,23
A2J10_10T0094300.1,88
A2J10_12T0023300.1,162
A2J10_09T0103500.1,268
A2J10_12T0175900.1,30
A2J10_12T0175900.3,34
A2J10_12T0175900.2,34
A2J10_12T0175900.4,34
A2J10_11T0084400.1,23
A2J10_04T0202700.1,373
A2J10_12T0081800.4,159
A2J10_12T0081800.2,191
A2J10_12T0081800.1,193
A2J10_12T0081800.5,148
A2J10_12T0081800.3,198
A2J10_09T0076500.1,7171
A2J10_09T0052000.1,7
A2J10_06T0128300.1,135
A2J10_06T0070300.1,3625
A2J10_04T0177300.1,1035
A2J10_06T0076900.3,382
A2J10_06T0076900.2,633
A2J10_06T0076900.1,776
A2J10_11T0193600.1,99
A2J10_05T0111500.1,1
A2J10_11T0004300.1,49
A2J10_01T0289000.3,629
A2J10_01T0289000.1,648
A2J10_01T0289000.2,703
A2J10_05T0170900.1,2
A2J10_10T0055500.1,70
A2J10_09T0129900.1,7
A2J10_11T0031800.4,597
A2J10_11T0031800.2,759
A2J10_11T0031800.5,609
A2J10_11T0031800.3,552
A2J10_11T0031800.1,702
A2J10_02T0045200.4,119
A2J10_02T0045200.3,107
A2J10_02T0045200.2,60
A2J10_02T0045200.1,31
A2J10_06T0081500.1,27
A2J10_10T0121800.2,1813
A2J10_10T0121800.1,1694
A2J10_01T0492700.2,131
A2J10_01T0492700.1,312
A2J10_01T0492700.3,133
A2J10_07T0099200.1,6
A2J10_01T0164500.1,258
A2J10_09T0012200.1,1446
A2J10_02T0375700.2,3615
A2J10_02T0375700.1,3229
A2J10_01T0412500.1,19
A2J10_06T0274100.1,185
A2J10_06T0196300.2,38
A2J10_06T0196300.3,7
A2J10_06T0196300.1,47
A2J10_11T0043800.2,419
A2J10_11T0043800.1,420
A2J10_01T0279900.1,821
A2J10_03T0286300.1,1
A2J10_03T0274500.1,1244
A2J10_11T0232400.1,162
A2J10_02T0332000.1,769
A2J10_08T0220700.4,6
A2J10_08T0220700.1,228
A2J10_08T0220700.2,218
A2J10_08T0220700.3,218
